Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2006-04-22,21-113,CLE,,WAS,W (+11),1,48:00,12,27,0.444,1,4,0.250,7,11,0.636,3,8,11,11,0,0,4,3,32,23.3,11
2,2,2006-04-25,21-116,CLE,,WAS,L (-5),1,43:28,7,25,0.280,1,6,0.167,11,15,0.733,2,7,9,2,2,3,10,5,26,6.7,-2
3,3,2006-04-28,21-119,CLE,@,WAS,W (+1),1,47:37,16,28,0.571,3,5,0.600,6,9,0.667,1,4,5,3,2,0,4,3,41,27.4,1
4,4,2006-04-30,21-121,CLE,@,WAS,L (-10),1,45:20,13,23,0.565,7,12,0.583,5,7,0.714,1,5,6,5,0,0,7,5,38,23.0,-16
5,5,2006-05-03,21-124,CLE,,WAS,W (+1),1,46:07,14,23,0.609,0,1,0.000,17,18,0.944,5,2,7,6,2,0,4,5,45,38.4,-4
6,6,2006-05-05,21-126,CLE,@,WAS,W (+1),1,53:00,15,25,0.600,1,6,0.167,1,3,0.333,0,7,7,7,2,1,5,4,32,22.8,1
7,7,2006-05-07,21-128,CLE,@,DET,L (-27),1,36:00,9,18,0.500,2,5,0.400,2,2,1.000,1,3,4,4,0,0,4,3,22,12.2,-31
8,8,2006-05-09,21-130,CLE,@,DET,L (-6),1,47:32,11,23,0.478,2,5,0.400,6,8,0.750,2,12,14,7,0,0,3,4,30,22.8,-4
9,9,2006-05-13,21-134,CLE,,DET,W (+9),1,48:00,9,18,0.500,1,4,0.250,2,2,1.000,0,10,10,10,4,1,4,2,21,21.9,9
10,10,2006-05-15,21-136,CLE,,DET,W (+2),1,48:00,8,23,0.348,1,2,0.500,5,10,0.500,1,7,8,9,2,2,8,3,22,10.4,2
11,11,2006-05-17,21-138,CLE,@,DET,W (+2),1,46:50,13,30,0.433,1,4,0.250,5,7,0.714,3,2,5,5,2,1,2,3,32,21.1,2
12,12,2006-05-19,21-140,CLE,,DET,L (-2),1,47:50,8,20,0.400,1,5,0.200,15,18,0.833,0,11,11,5,1,1,7,2,32,20.7,-2
13,13,2006-05-21,21-142,CLE,@,DET,L (-18),1,46:45,11,24,0.458,0,4,0.000,5,8,0.625,3,5,8,2,1,0,3,2,27,15.6,-16
