Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-08-18,35-232,LAL,,POR,L (-7),1,41:03,9,20,0.450,1,5,0.200,4,7,0.571,2,15,17,16,1,0,4,1,23,25.1,-3
2,2,2020-08-20,35-234,LAL,,POR,W (+23),1,26:41,4,11,0.364,0,3,0.000,2,2,1.000,0,6,6,7,2,0,6,1,10,6.2,23
3,3,2020-08-22,35-236,LAL,@,POR,W (+8),1,34:29,11,18,0.611,4,8,0.500,12,17,0.706,1,11,12,8,2,0,8,3,38,30.2,2
4,4,2020-08-24,35-238,LAL,@,POR,W (+20),1,28:18,10,12,0.833,4,5,0.800,6,8,0.750,1,5,6,10,0,1,2,2,30,31.9,17
5,5,2020-08-29,35-243,LAL,,POR,W (+9),1,33:52,14,19,0.737,4,7,0.571,4,4,1.000,0,10,10,10,1,1,5,1,36,34.6,20
6,6,2020-09-04,35-249,LAL,,HOU,L (-15),1,36:34,7,15,0.467,2,7,0.286,4,5,0.800,1,7,8,7,0,2,4,2,20,16.2,-15
7,7,2020-09-06,35-251,LAL,,HOU,W (+8),1,39:16,10,17,0.588,1,5,0.200,7,10,0.700,0,11,11,9,4,2,7,3,28,25.7,15
8,8,2020-09-08,35-253,LAL,@,HOU,W (+10),1,37:31,13,23,0.565,4,9,0.444,6,10,0.600,0,7,7,5,1,4,2,1,36,30.5,8
9,9,2020-09-10,35-255,LAL,@,HOU,W (+10),1,33:45,7,17,0.412,0,5,0.000,2,3,0.667,1,14,15,9,3,0,4,2,16,15.9,15
10,10,2020-09-12,35-257,LAL,,HOU,W (+23),1,30:48,9,18,0.500,3,8,0.375,8,10,0.800,2,9,11,7,2,1,4,2,29,26.1,19
11,11,2020-09-18,35-263,LAL,,DEN,W (+12),1,30:54,6,11,0.545,0,2,0.000,3,4,0.750,1,5,6,12,0,0,3,2,15,16.1,15
12,12,2020-09-20,35-265,LAL,,DEN,W (+2),1,36:25,10,20,0.500,3,8,0.375,3,4,0.750,2,9,11,4,0,2,6,2,26,17.1,-9
13,13,2020-09-22,35-267,LAL,@,DEN,L (-8),1,37:15,14,23,0.609,1,4,0.250,1,2,0.500,1,9,10,11,2,2,6,1,30,27.2,2
14,14,2020-09-24,35-269,LAL,@,DEN,W (+6),1,38:21,7,18,0.389,1,3,0.333,11,14,0.786,1,8,9,8,0,0,0,2,26,22.9,8
15,15,2020-09-26,35-271,LAL,,DEN,W (+10),1,40:01,15,25,0.600,1,4,0.250,7,8,0.875,3,13,16,10,1,0,2,2,38,37.3,12
16,16,2020-09-30,35-275,LAL,,MIA,W (+18),1,36:24,9,17,0.529,2,4,0.500,5,6,0.833,1,12,13,9,1,0,2,3,25,24.7,10
17,17,2020-10-02,35-277,LAL,,MIA,W (+10),1,39:09,14,25,0.560,3,8,0.375,2,5,0.400,2,7,9,9,1,1,0,2,33,30.6,7
18,18,2020-10-04,35-279,LAL,@,MIA,L (-11),1,39:13,9,16,0.563,1,5,0.200,6,9,0.667,1,9,10,8,0,2,8,2,25,17.8,-4
19,19,2020-10-06,35-281,LAL,@,MIA,W (+6),1,38:38,8,16,0.500,2,5,0.400,10,12,0.833,2,10,12,8,1,0,6,2,28,23.4,-2
20,20,2020-10-09,35-284,LAL,,MIA,L (-3),1,41:51,15,21,0.714,6,9,0.667,4,6,0.667,3,10,13,7,3,0,4,1,40,39.1,7
21,21,2020-10-11,35-286,LAL,@,MIA,W (+13),1,41:13,13,20,0.650,1,5,0.200,1,4,0.250,3,11,14,10,1,0,1,3,28,29.2,18
