Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2003-10-29,18-303,03_10CLE,SAC,L (-14),1,42:50,12,20,0.600,0,2,0.000,1,3,0.333,2,4,6,9,4,0,2,3,25,24.7,-9
2003-10-30,18-304,03_10CLE,PHO,L (-9),1,40:21,8,17,0.471,1,5,0.200,4,7,0.571,2,10,12,8,1,0,7,1,21,14.7,-3
2003-11-01,18-306,03_10CLE,POR,L (-19),1,39:10,3,12,0.250,0,1,0.000,2,2,1.000,0,4,4,6,2,0,2,3,8,5.0,-21
2003-11-05,18-310,03_10CLE,DEN,L (-4),1,41:06,3,11,0.273,0,2,0.000,1,1,1.000,2,9,11,7,2,3,2,1,7,11.2,-3
2003-11-07,18-312,03_10CLE,IND,L (-1),1,43:44,8,18,0.444,1,2,0.500,6,7,0.857,0,5,5,3,0,0,7,2,23,9.0,-7
2003-11-12,18-317,03_10CLE,MIA,L (-5),1,42:40,6,15,0.400,2,5,0.400,4,6,0.667,1,2,3,7,2,1,4,3,18,12.8,-4
2003-11-14,18-319,03_10CLE,BOS,L (-9),1,35:36,3,12,0.250,2,4,0.500,2,4,0.500,1,4,5,3,0,0,4,3,10,0.8,-1
2003-11-15,18-320,03_10CLE,PHI,W (+3),1,46:57,10,19,0.526,0,1,0.000,2,4,0.500,0,5,5,8,1,2,5,2,22,15.6,8
2003-11-18,18-323,03_10CLE,LAC,W (+8),1,39:25,6,16,0.375,0,2,0.000,2,4,0.500,2,5,7,8,0,1,3,2,14,9.8,1
2003-11-19,18-324,03_10CLE,WAS,L (-11),1,39:09,10,18,0.556,2,4,0.500,6,8,0.750,2,5,7,8,2,1,4,2,28,25.0,-5
2003-11-21,18-326,03_10CLE,MIN,L (-14),1,35:18,8,19,0.421,0,2,0.000,3,3,1.000,2,7,9,2,1,0,1,4,19,12.2,-5
2003-11-22,18-327,03_10CLE,ATL,L (-9),1,42:18,3,16,0.188,0,1,0.000,9,10,0.900,2,4,6,4,2,1,3,1,15,9.3,-6
2003-11-26,18-331,03_10CLE,NOH,L (-10),1,38:48,5,17,0.294,1,4,0.250,4,4,1.000,2,6,8,9,0,0,4,1,15,10.2,-13
2003-11-28,18-333,03_10CLE,DET,L (-4),1,36:27,2,8,0.250,0,2,0.000,2,3,0.667,0,2,2,7,0,0,4,3,6,1.1,-10
2003-11-29,18-334,03_10CLE,MEM,L (-7),1,54:41,14,28,0.500,3,6,0.500,2,3,0.667,2,14,16,7,1,1,8,1,33,22.4,-10
2003-12-02,18-337,03_10CLE,DEN,L (-12),1,32:31,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,12.2,-12
