Age,Tm,Opp,...4,FG,FGA,FG%,3P,3PA,3P%,TRB,BLK,PTS
18,2003-2010 CLE,SAC,L (-14),12,20,0.6,0,2,0,6,0,25
18,2003-2010 CLE,PHO,L (-9),8,17,0.471,1,5,0.2,12,0,21
18,2003-2010 CLE,POR,L (-19),3,12,0.25,0,1,0,4,0,8
18,2003-2010 CLE,DEN,L (-4),3,11,0.273,0,2,0,11,3,7
18,2003-2010 CLE,IND,L (-1),8,18,0.444,1,2,0.5,5,0,23
18,2003-2010 CLE,MIA,L (-5),6,15,0.4,2,5,0.4,3,1,18
18,2003-2010 CLE,BOS,L (-9),3,12,0.25,2,4,0.5,5,0,10
18,2003-2010 CLE,PHI,W (+3),10,19,0.526,0,1,0,5,2,22
18,2003-2010 CLE,LAC,W (+8),6,16,0.375,0,2,0,7,1,14
18,2003-2010 CLE,WAS,L (-11),10,18,0.556,2,4,0.5,7,1,28
18,2003-2010 CLE,MIN,L (-14),8,19,0.421,0,2,0,9,0,19
18,2003-2010 CLE,ATL,L (-9),3,16,0.188,0,1,0,6,1,15
18,2003-2010 CLE,NOH,L (-10),5,17,0.294,1,4,0.25,8,0,15
18,2003-2010 CLE,DET,L (-4),2,8,0.25,0,2,0,2,0,6
18,2003-2010 CLE,MEM,L (-7),14,28,0.5,3,6,0.5,16,1,33
18,2003-2010 CLE,DEN,L (-12),6,19,0.316,2,3,0.667,6,0,19
18,2003-2010 CLE,DET,W (+9),8,21,0.381,1,3,0.333,3,1,23
18,2003-2010 CLE,BOS,L (-7),10,20,0.5,1,5,0.2,3,0,37
18,2003-2010 CLE,IND,L (-10),10,16,0.625,0,3,0,4,3,27
18,2003-2010 CLE,HOU,L (-4),7,19,0.368,2,4,0.5,1,0,17
18,2003-2010 CLE,PHI,W (+7),14,24,0.583,5,7,0.714,4,0,36
18,2003-2010 CLE,CHI,W (+8),11,22,0.5,0,5,0,6,2,32
18,2003-2010 CLE,NOH,W (+11),7,22,0.318,1,6,0.167,6,1,22
