SHOT_ZONE_BASIC,AGE,LOC_X,LOC_Y,SHOT_ACCURACY,SHOT_ACCURACY_LAB
Above the Break 3,18,16.51388888888889,203.70833333333334,0.25,25%
Above the Break 3,19,2.8260869565217392,192.79710144927537,0.34057971014492755,34.1%
Above the Break 3,20,5.974910394265233,208.02867383512546,0.30824372759856633,30.8%
Above the Break 3,21,5.915824915824916,212.23905723905725,0.3501683501683502,35%
Above the Break 3,22,-32.13868613138686,206.9890510948905,0.2737226277372263,27.4%
Above the Break 3,23,-26.338509316770185,209.87577639751552,0.3198757763975155,32%
Above the Break 3,24,-27.74792243767313,213.37673130193906,0.3739612188365651,37.4%
Above the Break 3,25,-9.82312925170068,211.21428571428572,0.3231292517006803,32.3%
Above the Break 3,26,3.608,205.296,0.312,31.2%
Above the Break 3,27,-9.295,204.515,0.385,38.5%
Above the Break 3,28,-31.50655021834061,207.94323144104803,0.3799126637554585,38%
Above the Break 3,29,-18.776223776223777,214.47552447552448,0.34265734265734266,34.3%
Above the Break 3,30,-33.148014440433215,209.24187725631768,0.3176895306859206,31.8%
Above the Break 3,31,-56.19850187265918,207.34831460674158,0.36329588014981273,36.3%
Above the Break 3,32,-56.34090909090909,211.80113636363637,0.375,37.5%
Above the Break 3,33,-40.0131926121372,227.46965699208442,0.3482849604221636,34.8%
Above the Break 3,34,-33.90909090909091,225.89285714285714,0.32792207792207795,32.8%
Above the Break 3,35,-30.690677966101696,231.8050847457627,0.3474576271186441,34.7%
Above the Break 3,36,-21.16949152542373,232.26150121065376,0.36803874092009686,36.8%
Above the Break 3,37,-26.194915254237287,227.52542372881356,0.3559322033898305,35.6%
In The Paint (Non-RA),18,7.8474576271186445,51.25423728813559,0.3898305084745763,39%
In The Paint (Non-RA),19,5.004347826086956,48.756521739130434,0.3695652173913043,37%
In The Paint (Non-RA),20,-0.42045454545454547,51.46590909090909,0.3465909090909091,34.7%
In The Paint (Non-RA),21,-5.316129032258065,47.99354838709677,0.38064516129032255,38.1%
In The Paint (Non-RA),22,8.05421686746988,54.524096385542165,0.41566265060240964,41.6%
