Age,Tm,Opp,FG%,3P%,TRB,BLK,PTS,win_flag,total
18,03_10CLE,SAC,0.6,0,6,0,25,0,1
18,03_10CLE,PHO,0.471,0.2,12,0,21,0,1
18,03_10CLE,POR,0.25,0,4,0,8,0,1
18,03_10CLE,DEN,0.273,0,11,3,7,0,1
18,03_10CLE,IND,0.444,0.5,5,0,23,0,1
18,03_10CLE,MIA,0.4,0.4,3,1,18,0,1
18,03_10CLE,BOS,0.25,0.5,5,0,10,0,1
18,03_10CLE,PHI,0.526,0,5,2,22,1,1
18,03_10CLE,LAC,0.375,0,7,1,14,1,1
18,03_10CLE,WAS,0.556,0.5,7,1,28,0,1
18,03_10CLE,MIN,0.421,0,9,0,19,0,1
18,03_10CLE,ATL,0.188,0,6,1,15,0,1
18,03_10CLE,NOH,0.294,0.25,8,0,15,0,1
18,03_10CLE,DET,0.25,0,2,0,6,0,1
18,03_10CLE,MEM,0.5,0.5,16,1,33,0,1
18,03_10CLE,DEN,0.316,0.667,6,0,19,0,1
18,03_10CLE,DET,0.381,0.333,3,1,23,1,1
18,03_10CLE,BOS,0.5,0.2,3,0,37,0,1
18,03_10CLE,IND,0.625,0,4,3,27,0,1
18,03_10CLE,HOU,0.368,0.5,1,0,17,0,1
18,03_10CLE,PHI,0.583,0.714,4,0,36,1,1
18,03_10CLE,CHI,0.5,0,6,2,32,1,1
18,03_10CLE,NOH,0.318,0.167,6,1,22,1,1
18,03_10CLE,ORL,0.464,0.4,2,1,34,0,1
18,03_10CLE,CHI,0.292,0.25,3,2,18,0,1
18,03_10CLE,POR,0.652,0,10,0,32,1,1
19,03_10CLE,IND,0.45,0,10,0,22,0,1
19,03_10CLE,NJN,0.316,0,4,0,14,0,1
19,03_10CLE,NYK,0.353,0,4,1,14,1,1
19,03_10CLE,TOR,0.435,0,2,0,21,0,1
19,03_10CLE,BOS,0.368,0,3,0,19,0,1
19,03_10CLE,LAL,0.3,0,5,1,16,0,1
19,03_10CLE,SEA,0.423,0,9,0,27,1,1
19,03_10CLE,GSW,0.381,0.4,6,0,29,0,1
19,03_10CLE,UTA,0.429,0.5,7,1,29,1,1
19,03_10CLE,ORL,0.368,0.5,5,2,16,1,1
19,03_10CLE,MIA,0.4,0,5,1,27,1,1
19,03_10CLE,MIL,0.28,0.167,8,0,20,0,1
19,03_10CLE,WAS,0.519,0.5,6,2,38,1,1
19,03_10CLE,DET,0.263,0,4,0,12,1,1
19,03_10CLE,LAL,0.462,1,4,0,32,0,1
19,03_10CLE,MIN,0.333,0.333,9,0,14,0,1
19,03_10CLE,BOS,0.36,0.167,6,1,24,1,1
19,03_10CLE,NJN,0.154,0,2,0,9,0,1
19,03_10CLE,NOH,0.438,0.2,4,5,21,1,1
19,03_10CLE,HOU,0.278,0,7,1,11,0,1
19,03_10CLE,ORL,0.579,1,11,1,30,1,1
19,03_10CLE,CHI,0.412,0,3,1,18,0,1
19,03_10CLE,ATL,0.529,0.5,7,1,24,1,1
19,03_10CLE,NOH,0.412,1,6,0,19,1,1
19,03_10CLE,MIL,0.458,0,7,1,24,1,1
19,03_10CLE,ATL,0.478,0.25,6,0,34,1,1
19,03_10CLE,IND,0.545,0,3,1,26,1,1
19,03_10CLE,CHI,0.313,0.667,5,5,17,1,1
19,03_10CLE,UTA,0.286,0,0,1,14,0,1
19,03_10CLE,DET,0.294,0.25,7,2,15,0,1
19,03_10CLE,PHO,0.381,0.4,2,1,25,0,1
19,03_10CLE,PHI,0.385,0.5,3,1,16,0,1
19,03_10CLE,NJN,0.517,0.5,6,0,41,1,1
19,03_10CLE,DAL,0.591,0,5,0,28,0,1
19,03_10CLE,GSW,0.429,0.6,8,1,34,0,1
19,03_10CLE,MIA,0.429,1,7,0,24,0,1
19,03_10CLE,MIA,0.364,0,3,0,10,1,1
19,03_10CLE,MIL,0.45,0.25,7,0,27,1,1
19,03_10CLE,NYK,0.471,0,1,0,17,1,1
19,03_10CLE,IND,0.421,0.4,5,3,28,0,1
19,03_10CLE,MIA,0.409,0.667,6,0,21,0,1
19,03_10CLE,MIL,0.4,0,8,0,31,0,1
19,03_10CLE,ATL,0.471,0.25,10,2,25,1,1
19,03_10CLE,PHO,0.542,0.5,10,3,38,1,1
19,03_10CLE,WAS,0.5,0,9,2,24,1,1
19,03_10CLE,GSW,0.545,0.6,12,1,33,1,1
19,03_10CLE,CHA,0.571,0.667,6,0,19,1,1
19,03_10CLE,CHA,0.55,0,8,1,25,1,1
19,03_10CLE,NYK,0.333,0.333,9,1,13,0,1
19,03_10CLE,DET,0.682,0.667,6,1,43,1,1
19,03_10CLE,BOS,0.692,0,6,1,20,1,1
19,03_10CLE,CHI,0.647,0.5,7,0,26,1,1
19,03_10CLE,LAC,0.474,0,7,1,22,0,1
19,03_10CLE,PHO,0.316,0,3,1,15,0,1
19,03_10CLE,TOR,0.588,0.333,6,1,27,1,1
19,03_10CLE,NJN,0.5,0,2,0,27,1,1
19,03_10CLE,CHI,0.333,0,2,1,19,0,1
19,03_10CLE,SAS,0.526,0.333,6,0,23,0,1
19,03_10CLE,MEM,0.636,0.333,5,0,31,1,1
19,03_10CLE,POR,0.556,0.667,11,2,25,1,1
19,03_10CLE,DET,0.19,0,9,1,11,0,1
19,03_10CLE,BOS,0.48,0.6,5,1,31,0,1
19,03_10CLE,MIN,0.556,0,6,0,26,1,1
19,03_10CLE,NJN,0.389,1,9,0,23,0,1
19,03_10CLE,NOH,0.438,0,9,1,22,1,1
19,03_10CLE,ATL,0.52,0.6,9,0,40,1,1
19,03_10CLE,HOU,0,0,3,0,3,0,1
20,03_10CLE,CHA,0.579,0,8,0,26,1,1
20,03_10CLE,ATL,0.5,0.4,6,1,20,1,1
20,03_10CLE,CHA,0.458,0.4,8,1,29,1,1
20,03_10CLE,LAL,0.462,0.25,13,1,28,0,1
20,03_10CLE,UTA,0.45,0,8,0,27,1,1
20,03_10CLE,SEA,0.467,0.429,5,1,35,0,1
20,03_10CLE,POR,0.688,1,11,0,27,1,1
20,03_10CLE,SAC,0.474,0,8,0,18,0,1
20,03_10CLE,GSW,0.542,0,12,1,28,1,1
20,03_10CLE,WAS,0.462,1,10,1,31,0,1
20,03_10CLE,MEM,0.625,0.667,9,2,27,1,1
20,03_10CLE,ORL,0.5,0,5,1,28,0,1
20,03_10CLE,MIA,0.478,0.333,2,0,31,0,1
20,03_10CLE,ORL,0.429,0,6,0,30,1,1
20,03_10CLE,TOR,0.429,0,8,0,15,1,1
20,03_10CLE,DEN,0.414,0.167,6,0,35,0,1
20,03_10CLE,ATL,0.55,1,5,0,28,1,1
